2025-12-08 14:45:25.265 [info] Reading sessions from keychain...
2025-12-08 14:45:25.265 [info] Got stored sessions!
2025-12-08 14:45:25.265 [info] Got 1 verified sessions.
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.265 [info] Got 1 sessions for ...
2025-12-08 14:45:25.265 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-08 14:45:25.265 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2025-12-08 14:45:25.286 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.286 [info] Got 1 sessions for ...
2025-12-08 14:45:25.287 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-08 14:45:25.287 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2025-12-08 14:45:25.402 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.402 [info] Got 1 sessions for ...
2025-12-08 14:45:25.406 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.406 [info] Got 1 sessions for ...
2025-12-08 14:45:25.406 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.406 [info] Got 1 sessions for ...
2025-12-08 14:45:25.406 [info] Getting sessions for all scopes...
2025-12-08 14:45:25.406 [info] Got 1 sessions for ...
2025-12-08 14:45:25.408 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-08 14:45:25.408 [info] Got 1 sessions for read:user,repo,user:email,workflow...
